category,display_name
37017,Monitor Accessories
37018,Other Multimedia
37019,Projector Accessories
37020,Satellite Radio Boxes
37023,Power & Equipment
60500,Total PCs
60502,Total Notebook Accessories
60503,PC Memory
60506,Reference Data Banks
60507,Calculators
60508,Total Printers
60509,Label Printers
60510,Printer Accessories
60512,Fax Machines
60513,Inkjet Cartridges
60514,Laser Toner
60515,Technology Papers
60517,Label Printer Tapes
60519,Networking Devices
60522,Communication Devices
60523,Hard Disk Drives
60526,CD/DVD Drives
60527,Removable Media Drives
60528,Other Drives
60529,Storage Accessories
60530,Keyboards
60531,Input Devices
60532,Gaming Devices
60533,Input Device Accessories
60534,Total Monitors
60536,Total Scanners
60537,Projectors
60538,Video Capture/Edit
60539,Sound Cards
60540,Total Accessories
60542,Computer Connectivity
60543,CPUs/Processors
60544,AV Tuner Cards
60546,Video Cards
60547,Firewire Cards
60548,Other Cards
60549,Motherboards
60551,CD Media
60552,DVD Media
60553,Data Cartridges
60554,Flash Memory
60555,Other Media
60562,Cordless Equipment
60563,Corded Equipment
60564,Stand Alone Answering Device
60569,Cell Phone Accessories
60570,Portable Two-Way Radios
60572,Landline Headset Equipment
60573,Total Home Systems
60574,Total Home Components
60575,Musical Keyboards
60576,Stereo Headphones
60577,Portable Digital Players
60578,CD Boombox
60580,Headset Stereo
60582,Solid State Voice Recorders
60584,Total Portable/Home Radios
60585,In-Dash Stereo Receivers
60587,Car CD Changers
60588,Car Stereo Speakers
60589,Car Amplifiers
60590,In-Dash Video Receivers
60592,CD Controllers
60594,Portable TV
60597,LCD TV
60601,Standard DVD
60602,Direct Broadcast Satellite
60604,Blank Video Tape
60605,Hard Drive Recorders
60606,Camcorders
60608,Remote Controllers
60609,Digital Set-Top Decoder Boxes
60610,USB Camera
60611,Total Digital Still Cameras
60612,Instant
60618,Film
111091,Portable Digital Player Accessories
112742,Digital Imaging Accessories
1502651,Data Cables
1503607,Audio/Video Cables
1511376,Blu-ray Players/Recorders
1513578,Navigation
1517273,Blu-ray Media
1517647,Flat Panel Mounts
1520499,Streaming Media Players
1520520,Home Automation
1523193,Other Storage Hardware
1526530,Tablets & e-readers
1542588,Plasma TV
1543213,Tablets & e-readers - Accessories
1543214,Tablets & e-readers - Cases
1556049,Digital Media Speakers
1556059,Solid State Drives
1558422,Digital Picture Frames
1567157,Receivers & Amplifiers
1567158,Home Speakers
1577160,Wearable Technology
1588739,Mobile Power
1592121,Cellular Headset Equipment
1598297,Total Drones
2001970,A/V Antennas
2002503,Network Attached Storage
2004804,Dash Cameras
2011825,Turntables
2012610,VR/AR Hardware & Accessories
