category,week,units,revenue
1503607,2300,970478,14271045.633
1503607,2298,948183,13550167.848
1503607,2299,905265,13253043.379
1503607,2297,984972,14081098.061
1503607,2301,896644,12582363.062
1503607,2304,994304,13792095.34
1503607,2303,1003934,14395121.731
1503607,2302,978999,14139963.629
1503607,2308,845087,11823789.842
1503607,2306,893096,12475816.84
1503607,2307,895548,12212981.065
1503607,2309,841601,11604307.059
1503607,2305,968535,13174421.653
1503607,2311,767032,10575669.479
1503607,2313,791894,10359512.838
1503607,2312,710811,9490361.5909
1503607,2310,775462.33,10485091.076
1503607,2316,730929,9892251.0392
1503607,2317,766548.9,10337352.904
1503607,2315,730898,9577862.6583
1503607,2314,738435,9815447.2807
1503607,2321,743065,10287175.851
1503607,2320,780621,10657320.382
1503607,2319,818020,11163554.045
1503607,2322,826253,11328219.411
1503607,2318,785714,10413448.158
1503607,2326,825460,11011552.279
1503607,2325,766419,10201345.709
1503607,2323,761385,10304655.652
1503607,2324,769332,10418953.507
1503607,2327,847398,11337089.728
1503607,2330,922727,12631462.056
1503607,2328,944357,12274671.089
1503607,2329,1022662,13546887.71
1503607,2335,753455,10303687.043
1503607,2332,811061,11064514.569
1503607,2334,734949,10087597.949
1503607,2333,752579,10333241.908
1503607,2331,931315,13024507.078
1503607,2336,747386,10279574.18
1503607,2339,729661,10143114.059
1503607,2337,731295,10255747.261
1503607,2338,711265,9917440.3001
1503607,2342,807251,11663715.511
1503607,2343,1713478,23305958.122
1503607,2341,817034,11220130.875
1503607,2340,777055,10889769.91
1503607,2345,982475,14052698.182
1503607,2346,1151878,16263057.071
1503607,2348,1364641,19515365.209
1503607,2347,1633167,24451170.644
1503607,2344,1187629,16256678.65
1503607,2350,915778,12292185.565
1503607,2352,915843,13585734.937
1503607,2351,879785,12509869.031
1503607,2349,939130,12972072.336
1503607,2356,1131820,12034236.428
1503607,2354,980809,12704746.138
1503607,2353,880801,12282919.136
1503607,2355,1058208,12572728.915
1503607,2361,743705,10207284.161
1503607,2359,853943,10544188.07
1503607,2357,855935,11501151.984
1503607,2360,928361,10135069.829
1503607,2358,853986,11098458.702
1503607,2363,692132,9176888.1702
1503607,2362,688830,9019899.5345
1503607,2364,692219,9475915.1654
1503607,2365,739233,10111976.451
1503607,2368,725965,9701744.2301
1503607,2369,743892,9995265.3805
1503607,2367,682455,8937441.2087
1503607,2366,657931,8791795.9322
1503607,2372,856628,10122139.977
1503607,2371,735380,9518111.4371
1503607,2373,1034382,9953523.2728
1503607,2374,762000,10301320.392
1503607,2370,756587,9882155.6254
1503607,2376,697322,9741639.5125
1503607,2378,701330,9550092.5428
1503607,2377,678260,9365664.3381
1503607,2375,690449,9645030.545
1503607,2415,669171.63,8651110.3065
1503607,2416,617684.1,8303624.9565
1503607,2414,689491.75,9373897.4159
1503607,2417,657341.6,8531235.792
1503607,2418,666016.91,8778925.9271
1503607,2420,660275.37,8518005.2196
1503607,2419,630969.99,8360167.8088
1503607,2421,670404.07,8771230.7085
1503607,2422,716357.53,9390493.4883
1503607,2423,707711.36,8761424.2358
1503607,2426,747205.44,9389355.9235
1503607,2425,684120.59,8656734.1115
1503607,2424,712979.03,8815255.3689
1503607,2430,715039.37,8962289.3501
1503607,2429,683330.64,8747725.6926
1503607,2427,711438.92,9247228.1227
1503607,2428,717792.93,8891073.7666
1503607,2433,864540.29,10957460.462
1503607,2431,753182.1,9839314.7246
1503607,2434,827217.08,10337541.524
1503607,2432,811632.96,10037289.072
1503607,2439,693872.17,8730425.7894
1503607,2436,779062.32,10560851.209
1503607,2437,704488.16,9243612.376
1503607,2438,678753.91,8867951.5517
1503607,2435,811208.6,10673766.177
1503607,2442,656374.64,8534466.156
1503607,2441,656881.13,8509323.5742
1503607,2440,674172.24,8715390.9779
1503607,2443,659503.66,8422993.5842
1503607,2445,678579.31,9287826.6469
1503607,2446,711606,9640119.6813
1503607,2444,665354.28,8880315.6654
1503607,2447,1379402,18059448.526
1503607,2380,815241,10919422.18
1503607,2382,788237,11011148.699
1503607,2381,880022,11693506.209
1503607,2379,753950,10216868.387
1503607,2383,795953,11192190.533
1503607,2387,689791,9414459.0068
1503607,2384,791213,11186139.009
1503607,2385,728852,9714868.3076
1503607,2386,678415,9097418.3614
1503607,2388,684389,9180269.9382
1503607,2390,675692,9010909.0266
1503607,2391,675869,9508637.739
1503607,2389,667918,9126491.0531
1503607,2394,727086,10597998.58
1503607,2395,1462480,19873542.898
1503607,2392,717676,10030748.06
1503607,2393,733352,10335310.25
1503607,2399,1257468,19046786.883
1503607,2400,1248439.13,18269342.678
1503607,2398,974825,13763012.596
1503607,2397,891947,12243306.753
1503607,2396,1071455,14499976.799
1503607,2403,779815.48,10774813.66
1503607,2401,888827.06,12339930.66
1503607,2404,752086,10750270.888
1503607,2402,794750,11068271.332
1503607,2408,790681.05,10394263.211
1503607,2406,825708,11457233.245
1503607,2405,842642,12449934.406
1503607,2407,810159.97,11233943.483
1503607,2412,718774.7,9615601.2647
1503607,2411,720840.35,9723235.8852
1503607,2409,770963.54,10401911.038
1503607,2413,671823.13,8855140.6247
1503607,2410,740979.94,9850279.9994
1503607,2450,821333,10975265.807
1503607,2452,1116665,15509893.54
1503607,2448,970975,13402046.354
1503607,2451,1002093,14234136.446
1503607,2449,848189,11135738.55
1503607,2454,749756,9905834.8089
1503607,2455,736373,9976587.2368
1503607,2456,724400,9427551.1626
