week,date,month
2297,11-JAN-14,529
2298,18-JAN-14,529
2299,25-JAN-14,529
2300,01-FEB-14,529
2301,08-FEB-14,530
2302,15-FEB-14,530
2303,22-FEB-14,530
2304,01-MAR-14,530
2305,08-MAR-14,531
2306,15-MAR-14,531
2307,22-MAR-14,531
2308,29-MAR-14,531
2309,05-APR-14,531
2310,12-APR-14,532
2311,19-APR-14,532
2312,26-APR-14,532
2313,03-MAY-14,532
2314,10-MAY-14,533
2315,17-MAY-14,533
2316,24-MAY-14,533
2317,31-MAY-14,533
2318,07-JUN-14,534
2319,14-JUN-14,534
2320,21-JUN-14,534
2321,28-JUN-14,534
2322,05-JUL-14,534
2323,12-JUL-14,535
2324,19-JUL-14,535
2325,26-JUL-14,535
2326,02-AUG-14,535
2327,09-AUG-14,536
2328,16-AUG-14,536
2329,23-AUG-14,536
2330,30-AUG-14,536
2331,06-SEP-14,537
2332,13-SEP-14,537
2333,20-SEP-14,537
2334,27-SEP-14,537
2335,04-OCT-14,537
2336,11-OCT-14,538
2337,18-OCT-14,538
2338,25-OCT-14,538
2339,01-NOV-14,538
2340,08-NOV-14,539
2341,15-NOV-14,539
2342,22-NOV-14,539
2343,29-NOV-14,539
2344,06-DEC-14,540
2345,13-DEC-14,540
2346,20-DEC-14,540
2347,27-DEC-14,540
2348,03-JAN-15,540
2349,10-JAN-15,541
2350,17-JAN-15,541
2351,24-JAN-15,541
2352,31-JAN-15,541
2353,07-FEB-15,542
2354,14-FEB-15,542
2355,21-FEB-15,542
2356,28-FEB-15,542
2357,07-MAR-15,543
2358,14-MAR-15,543
2359,21-MAR-15,543
2360,28-MAR-15,543
2361,04-APR-15,543
2362,11-APR-15,544
2363,18-APR-15,544
2364,25-APR-15,544
2365,02-MAY-15,544
2366,09-MAY-15,545
2367,16-MAY-15,545
2368,23-MAY-15,545
2369,30-MAY-15,545
2370,06-JUN-15,546
2371,13-JUN-15,546
2372,20-JUN-15,546
2373,27-JUN-15,546
2374,04-JUL-15,546
2375,11-JUL-15,547
2376,18-JUL-15,547
2377,25-JUL-15,547
2378,01-AUG-15,547
2379,08-AUG-15,548
2380,15-AUG-15,548
2381,22-AUG-15,548
2382,29-AUG-15,548
2383,05-SEP-15,549
2384,12-SEP-15,549
2385,19-SEP-15,549
2386,26-SEP-15,549
2387,03-OCT-15,549
2388,10-OCT-15,550
2389,17-OCT-15,550
2390,24-OCT-15,550
2391,31-OCT-15,550
2392,07-NOV-15,551
2393,14-NOV-15,551
2394,21-NOV-15,551
2395,28-NOV-15,551
2396,05-DEC-15,552
2397,12-DEC-15,552
2398,19-DEC-15,552
2399,26-DEC-15,552
2400,02-JAN-16,552
2401,09-JAN-16,553
2402,16-JAN-16,553
2403,23-JAN-16,553
2404,30-JAN-16,553
2405,06-FEB-16,554
2406,13-FEB-16,554
2407,20-FEB-16,554
2408,27-FEB-16,554
2409,05-MAR-16,555
2410,12-MAR-16,555
2411,19-MAR-16,555
2412,26-MAR-16,555
2413,02-APR-16,555
2414,09-APR-16,556
2415,16-APR-16,556
2416,23-APR-16,556
2417,30-APR-16,556
2418,07-MAY-16,557
2419,14-MAY-16,557
2420,21-MAY-16,557
2421,28-MAY-16,557
2422,04-JUN-16,558
2423,11-JUN-16,558
2424,18-JUN-16,558
2425,25-JUN-16,558
2426,02-JUL-16,558
2427,09-JUL-16,559
2428,16-JUL-16,559
2429,23-JUL-16,559
2430,30-JUL-16,559
2431,06-AUG-16,560
2432,13-AUG-16,560
2433,20-AUG-16,560
2434,27-AUG-16,560
2435,03-SEP-16,561
2436,10-SEP-16,561
2437,17-SEP-16,561
2438,24-SEP-16,561
2439,01-OCT-16,561
2440,08-OCT-16,562
2441,15-OCT-16,562
2442,22-OCT-16,562
2443,29-OCT-16,562
2444,05-NOV-16,563
2445,12-NOV-16,563
2446,19-NOV-16,563
2447,26-NOV-16,563
2448,03-DEC-16,564
2449,10-DEC-16,564
2450,17-DEC-16,564
2451,24-DEC-16,564
2452,31-DEC-16,564
2453,07-JAN-17,565
2454,14-JAN-17,565
2455,21-JAN-17,565
2456,28-JAN-17,565
2457,04-FEB-17,566
2458,11-FEB-17,566
2459,18-FEB-17,566
2460,25-FEB-17,566
2461,04-MAR-17,567
2462,11-MAR-17,567
2463,18-MAR-17,567
2464,25-MAR-17,567
2465,01-APR-17,567
2466,08-APR-17,568
2467,15-APR-17,568
2468,22-APR-17,568
2469,29-APR-17,568
2470,06-MAY-17,569
2471,13-MAY-17,569
2472,20-MAY-17,569
2473,27-MAY-17,569
2474,03-JUN-17,570
2475,10-JUN-17,570
2476,17-JUN-17,570
2477,24-JUN-17,570
2478,01-JUL-17,570
2479,08-JUL-17,571
2480,15-JUL-17,571
2481,22-JUL-17,571
2482,29-JUL-17,571
2483,05-AUG-17,572
2484,12-AUG-17,572
2485,19-AUG-17,572
2486,26-AUG-17,572
2487,02-SEP-17,573
2488,09-SEP-17,573
2489,16-SEP-17,573
2490,23-SEP-17,573
2491,30-SEP-17,573
2492,07-OCT-17,574
2493,14-OCT-17,574
2494,21-OCT-17,574
2495,28-OCT-17,574
2496,04-NOV-17,575
2497,11-NOV-17,575
2498,18-NOV-17,575
2499,25-NOV-17,575
